saxo_symbol,yFinance_symbol,description,exchange_id,asset_type,currency,issuer_country,eligibility_status,availability_status,eligible_universe,isa_eligible,instrument_exclusion_flag,market_cap_usd,market_cap_native,market_cap_currency,aum_usd,aum_native,aum_currency,market_cap_source,aum_source,yfinance_fundamentals_status,yfinance_fundamentals_notes,eligibility_review_status,eligibility_review_notes
ARM:xnas,ARM,Arm Holdings Limited - ADR,NASDAQ,Stock,USD,GB,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,336743890944,336743890944,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=ARM; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
ASML:xnas,ASML,ASML Holding NV - ADR,NASDAQ,Stock,USD,NL,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,681927180288,681927180288,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=ASML; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
AIXI:xnas,AIXI,XIAO-I Corp. - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,1739911,1739911,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=AIXI; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
JD:xnas,JD,JD.com Inc. - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,35950309376,35950309376,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=JD; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
PDD:xnas,PDD,PDD Holdings Inc - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,117273632768,117273632768,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=PDD; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
BIDU:xnas,BIDU,Baidu.com Inc. - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,38550630400,38550630400,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=BIDU; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
CAN:xnas,CAN,Canaan Inc. - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,211350480,211350480,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=CAN; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
SIMO:xnas,SIMO,Silicon Motion Technology Corp. - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,10196424704,10196424704,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=SIMO; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
FUTU:xnas,FUTU,Futu Holdings Ltd - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,13324085248,13324085248,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=FUTU; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
CMPS:xnas,CMPS,COMPASS Pathways PLC - ADR,NASDAQ,Stock,USD,GB,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,1838009600,1838009600,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=CMPS; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
HIMX:xnas,HIMX,Himax Technologies Inc. - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,2293700864,2293700864,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=HIMX; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
PONY:xnas,PONY,Pony AI Inc.- ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,2961088768,2961088768,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=PONY; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
WRD:xnas,WRD,WeRide Inc.-ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,1815837824,1815837824,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=WRD; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
EH:xnas,EH,EHang Holdings Ltd ADS,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,478584224,478584224,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=EH; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
HSAI:xnas,HSAI,Hesai Group - ADS,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,2701274624,2701274624,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=HSAI; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
LI:xnas,LI,Li Auto Inc.- ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,11934520320,11934520320,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=LI; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
IMMP:xnas,IMMP,Immutep Ltd - ADR,NASDAQ,Stock,USD,AU,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,62102616,62102616,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=IMMP; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
TCOM:xnas,TCOM,Trip Com Group Ltd - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,25817913344,25817913344,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=TCOM; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
LEGN:xnas,LEGN,Legend Biotech Corporation - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,5785784320,5785784320,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=LEGN; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
KSPI:xnas,KSPI,Kaspi.kz JSC ADR,NASDAQ,Stock,USD,KZ,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,17068249088,17068249088,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=KSPI; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
TIGR:xnas,TIGR,UP Fintech Holding Ltd - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,818448960,818448960,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=TIGR; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
BILI:xnas,BILI,Bilibili Inc. - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,7143808000,7143808000,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=BILI; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
IQ:xnas,IQ,Iqiyi Inc. - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,974674944,974674944,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=IQ; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
BNTX:xnas,BNTX,BioNTech SE - ADR,NASDAQ,Stock,USD,DE,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,24667594752,24667594752,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=BNTX; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
GPCR:xnas,GPCR,Structure Therapeutics Inc.- ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,3798932736,3798932736,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=GPCR; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
ABVX:xnas,ABVX,Abivax SA - ADR,NASDAQ,Stock,USD,FR,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,11543166976,11543166976,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=ABVX; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
NCTY:xnas,NCTY,The9 Limited - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,77587688,77587688,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=NCTY; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
NTES:xnas,NTES,NetEase Inc. - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,81524629504,81524629504,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=NTES; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
KC:xnas,KC,Kingsoft Cloud Holdings Ltd. - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,2724263936,2724263936,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=KC; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
WKEY:xnas,WKEY,WISeKey International Holding Ltd. - ADR,NASDAQ,Stock,USD,CH,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,79250096,79250096,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=WKEY; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
PSNY:xnas,PSNY,Polestar Automotive Holding UK PLC Cl A ADS,NASDAQ,Stock,USD,GB,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,2961836544,2961836544,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=PSNY; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
SCAG:xnas,SCAG,Scage Future - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,26858314,26858314,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=SCAG; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
OPRA:xnas,OPRA,Opera Ltd - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,1782104064,1782104064,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=OPRA; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
GRVY:xnas,GRVY,Gravity Co. Ltd - ADR,NASDAQ,Stock,USD,KR,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,455708864,455708864,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=GRVY; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
CHA:xnas,CHA,Chagee Holdings Ltd - ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,2100304256,2100304256,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=CHA; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
NICE:xnas,NICE,NICE Ltd - ADR,NASDAQ,Stock,USD,IL,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,5653774336,5653774336,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=NICE; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
AUTL:xnas,AUTL,Autolus Therapeutics Plc - ADR,NASDAQ,Stock,USD,GB,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,420506400,420506400,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=AUTL; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
SNY:xnas,SNY,Sanofi - ADR,NASDAQ,Stock,USD,FR,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,103315070976,103315070976,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=SNY; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
OTLY:xnas,OTLY,Oatly Group AB - ADR,NASDAQ,Stock,USD,SE,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,310688736,310688736,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=OTLY; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
MTLS:xnas,MTLS,Materialise NV - ADR,NASDAQ,Stock,USD,BE,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,415255552,415255552,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=MTLS; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
JZ:xnas,JZ,Jianzhi Education Technology Group Company Ltd-ADR,NASDAQ,Stock,USD,KY,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,140163,140163,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=JZ; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
VEON:xnas,VEON,VEON Ltd - ADR,NASDAQ,Stock,USD,BM,EXCLUDED,AVAILABLE,false,NEEDS_CHECK,false,3600551168,3600551168,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=VEON; quoteType=EQUITY; currency=USD; usd_fx=1,AUTO_EXCLUDE_MARKET_CAP_POLICY,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo market_cap_usd below US$5bn strategy threshold; excluded pending operator override
